,No,%,Early,"Early, %",Advanced,"Advanced, %",Unknown,"Unknown, %",p-value
Total,2046,100,737,36.02%,1137,55.57%,172,8.41%,
Period of Diagnosis,,,,,,,,,0.003677458038434844
    2007-2010,752,36.75%,305,41.38%,384,33.77%,63,36.63%,
    2011-2014,725,35.43%,245,33.24%,421,37.03%,59,34.30%,
    2015-2018,569,27.81%,187,25.37%,332,29.20%,50,29.07%,
Age of Diagnosis,,,,,,,,,<0.0005
    <=29,65,3.18%,40,5.43%,17,1.50%,8,4.65%,
    30-44,482,23.56%,276,37.45%,181,15.92%,25,14.53%,
    45-59,734,35.87%,269,36.50%,415,36.50%,50,29.07%,
    60-74,502,24.54%,118,16.01%,336,29.55%,48,27.91%,
    >=75,263,12.85%,34,4.61%,188,16.53%,41,23.84%,
Nationality,,,,,,,,,0.3342721174352934
    Estonian,1402,68.52%,514,69.74%,764,67.19%,124,72.09%,
    Other,630,30.79%,220,29.85%,363,31.93%,47,27.33%,
    Unknown,14,0.68%,3,0.41%,10,0.88%,1,0.58%,
Educational Level,,,,,,,,,<0.0005
    Basic&Primary,425,20.77%,114,15.47%,264,23.22%,47,27.33%,
    Secondary,787,38.47%,284,38.53%,428,37.64%,75,43.60%,
    Secondary_vocational,366,17.89%,148,20.08%,196,17.24%,22,12.79%,
    University&higher,326,15.93%,158,21.44%,150,13.19%,18,10.47%,
    Unknown,142,6.94%,33,4.48%,99,8.71%,10,5.81%,
Marital Status,,,,,,,,,<0.0005
    Married,619,30.25%,262,35.55%,315,27.70%,42,24.42%,
    Divorced,577,28.20%,203,27.54%,335,29.46%,39,22.67%,
    Widow,422,20.63%,107,14.52%,260,22.87%,55,31.98%,
    Single,362,17.69%,144,19.54%,189,16.62%,29,16.86%,
    Unknown,66,3.23%,21,2.85%,38,3.34%,7,4.07%,
Region of residence,,,,,,,,,0.25893142484716547
    South,489,23.90%,192,26.05%,250,21.99%,47,27.33%,
    North-East,243,11.88%,80,10.85%,142,12.49%,21,12.21%,
    Central,247,12.07%,87,11.80%,127,11.17%,33,19.19%,
    West,281,13.73%,90,12.21%,155,13.63%,36,20.93%,
    North,786,38.42%,288,39.08%,463,40.72%,35,20.35%,
Tumor Morphology,,,,,,,,,0.3824202901415552
    SCC,1635,79.91%,604,81.95%,907,79.77%,124,72.09%,
    AC,277,13.54%,112,15.20%,148,13.02%,17,9.88%,
    Other,134,6.55%,21,2.85%,82,7.21%,31,18.02%,
